"","record","gender","age","age_category","state","use_smartphone","use_tablet","use_computer","use_smarttv","use_console","use_other","phonetype","q1","q3","q5","q6","q8","q13","q14","q15","q16","q17","q18","dstraightliner","selfrated_usage","qusage2_iosc1","qusage2_iosc2","noanswerqusage2_ios_r99","qusage2_andr1c1","qusage2_andr1c2","qusage2_andr2c1","qusage2_andr2c2","qusage2_andr3c1","qusage2_andr3c2","qusage2_andr4c1","qusage2_andr4c2","qusage2_andr5c1","qusage2_andr5c2","qusage2_andr6c1","qusage2_andr6c2","qusage2_andr7c1","qusage2_andr7c2","noanswerqusage2_and_r99","unique_psu_responses","problematic_only1uniquepsu","usage_minutes","qusage2_andr_day1","qusage2_andr_day2","qusage2_andr_day3","qusage2_andr_day4","qusage2_andr_day5","qusage2_andr_day6","qusage2_andr_day7","androidusage_minutes","usage_hours","isfemale","malefemale","usage_loghours","iphone_user","device_count","q1_agree","q3_agree","q5_agree","q6_agree","q8_agree","q13_agree","q14_agree","q15_agree","q16_agree","q17_agree","q18_agree","selfrated_usage_rawnumeric","selfrated_usage_numeric","selfrated_min","selfrated_max","selfrated_usage_accuracy","problematic_morethan16hours","problematic_inconsistentselfwithgt8","problematic_morethan12hours","android_day_unique","probelmatic_android_repeat","problematic_missingusage","problematic_missingselfratedusage","has_missingdata","has_validity_issue","retain","probsmart","techconcern"
"28",40,"Female",27,"25-34","QLD",1,1,1,0,0,0,"iphone",1,2,1,1,1,1,1,5,5,4,5,"No","Less than 1 hour",0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,45,NA,NA,NA,NA,NA,NA,NA,NA,0.75,TRUE,"Female",0.559615787935423,TRUE,3,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.14285714285714,4.75
"29",39,"Female",42,"35-44","QLD",1,0,1,0,0,0,"android",4,3,5,3,3,1,3,3,4,4,5,"No","2 to 3 hours",NA,NA,NA,9,17,6,5,11,12,9,53,9,3,5,9,2,28,0,5,FALSE,455.285714285714,557,365,672,593,543,309,148,455.285714285714,7.58809523809524,TRUE,"Female",2.15037696962613,FALSE,2,1,0,1,0,0,0,0,0,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.14285714285714,4
"30",38,"Female",54,"45-54","VIC",1,1,1,0,0,0,"android",3,3,5,4,3,2,3,4,5,4,4,"No","1 to 2 hours",NA,NA,NA,0,50,1,0,0,30,1,15,0,45,1,10,0,20,0,4,FALSE,50,50,60,30,75,45,70,20,50,0.833333333333333,TRUE,"Female",0.606135803570316,FALSE,3,0,0,1,1,0,0,0,1,1,1,1,2,90,1,2,"overestimate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.28571428571429,4.25
"31",41,"Male",40,"35-44","VIC",1,0,1,0,0,0,"android",4,4,3,2,2,2,1,4,4,4,5,"No","2 to 3 hours",NA,NA,NA,2,5,3,1,2,30,1,35,1,30,3,5,2,25,0,5,FALSE,138.714285714286,125,181,150,95,90,185,145,138.714285714286,2.31190476190476,FALSE,"Male",1.19752348064603,FALSE,2,1,1,0,0,0,0,0,1,1,1,1,3,150,NA,NA,NA,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.57142857142857,4.25
"33",43,"Female",28,"25-34","VIC",1,1,1,0,0,0,"iphone",4,4,4,4,4,2,2,3,5,4,4,"No","More than 4 hours",3,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,230,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333333333,TRUE,"Female",1.57553636075842,TRUE,3,1,1,1,1,1,0,0,0,1,1,1,5,357,4,24,"overestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.42857142857143,4
"34",44,"Male",35,"35-44","NSW",1,1,1,1,1,0,"iphone",2,3,1,1,1,1,1,1,4,3,3,"No","1 to 2 hours",0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,48,NA,NA,NA,NA,NA,NA,NA,NA,0.8,FALSE,"Male",0.587786664902119,TRUE,5,0,0,0,0,0,0,0,0,1,0,0,2,90,1,2,"overestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.42857142857143,2.75
"36",47,"Male",59,"55-64","NSW",1,0,1,1,0,0,"android",2,3,1,2,3,2,2,2,2,2,2,"No","1 to 2 hours",NA,NA,NA,2,3,2,13,2,2,2,25,1,46,1,51,1,33,0,3,FALSE,119,123,133,122,145,106,111,93,119,1.98333333333333,FALSE,"Male",1.09304124361865,FALSE,3,0,0,0,0,0,0,0,0,0,0,0,2,90,1,2,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.14285714285714,2
"39",54,"Male",37,"35-44","NSW",1,0,1,1,1,0,"iphone",3,4,4,5,3,4,4,4,3,3,3,"No","3 to 4 hours",3,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,203,NA,NA,NA,NA,NA,NA,NA,NA,3.38333333333333,FALSE,"Male",1.47780946995566,TRUE,4,0,1,1,1,0,1,1,1,0,0,0,4,210,3,4,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.85714285714286,3.25
"41",59,"Female",67,"65-120","QLD",1,1,1,1,0,0,"android",2,2,2,2,2,2,2,4,4,4,4,"No","1 to 2 hours",NA,NA,NA,2,3,3,1,1,56,1,34,1,23,1,19,1,54,0,2,FALSE,112.857142857143,123,181,116,94,83,79,114,112.857142857143,1.88095238095238,TRUE,"Female",1.05812092731337,FALSE,4,0,0,0,0,0,0,0,1,1,1,1,2,90,1,2,"accurate",FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4
"42",61,"Male",38,"35-44","NSW",1,0,1,0,1,0,"iphone",3,4,3,3,2,4,3,4,3,4,2,"No","1 to 2 hours",1,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,105,NA,NA,NA,NA,NA,NA,NA,NA,1.75,FALSE,"Male",1.01160091167848,TRUE,3,0,1,0,0,0,1,0,1,0,1,0,2,90,1,2,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.14285714285714,3.25
"44",64,"Female",29,"25-34","NSW",1,1,1,1,1,0,"iphone",4,5,4,5,4,3,5,3,4,4,2,"No","More than 4 hours",7,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,429,NA,NA,NA,NA,NA,NA,NA,NA,7.15,TRUE,"Female",2.09801792725277,TRUE,5,1,1,1,1,1,0,1,0,1,1,0,5,357,4,24,"accurate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.28571428571429,3.25
"45",65,"Female",52,"45-54","QLD",1,0,1,0,0,0,"iphone",5,3,5,3,4,5,1,5,5,5,5,"No","More than 4 hours",3,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,231,NA,NA,NA,NA,NA,NA,NA,NA,3.85,TRUE,"Female",1.57897870494939,TRUE,2,1,0,1,0,1,1,0,1,1,1,1,5,357,4,24,"overestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.71428571428571,5
"46",63,"Female",70,"65-120","VIC",1,1,1,0,0,0,"android",1,1,1,2,1,1,1,5,5,5,5,"No","Less than 1 hour",NA,NA,NA,0,1,0,7,0,4,0,1,0,1,0,3,0,9,0,4,FALSE,3.71428571428571,1,7,4,1,1,3,9,3.71428571428571,0.0619047619047619,TRUE,"Female",0.0600642407426501,FALSE,3,0,0,0,0,0,0,0,1,1,1,1,1,30,0,1,"accurate",FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.14285714285714,5
"52",75,"Male",30,"25-34","NSW",1,1,0,0,0,0,"iphone",5,5,4,5,5,4,5,5,4,5,4,"No","More than 4 hours",2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,122,NA,NA,NA,NA,NA,NA,NA,NA,2.03333333333333,FALSE,"Male",1.10966212485469,TRUE,2,1,1,1,1,1,1,1,1,1,1,1,5,357,4,24,"overestimate",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4.71428571428571,4.5
